id,name,category,stream,state,max_income,caste_category,gender_restriction,min_age,max_age,education_level,healthcare_type,benefits,official_url,notes,last_verified
SCH001,National Means-cum-Merit Scholarship (NMMS),scholarship,All,All,350000,All,,,,Class 9–12,,"?12,000/yr (?1,000/mo)",https://www.myscheme.gov.in/schemes/nmmss,"Must score at least 55% in Class 7 (relaxable by 5% for SC/ST). Only for govt/govt-aided/local body schools - not KV, Navodaya, or private schools. Must maintain 60% in Class 10 and clear promotion each year to continue.",28-06-2026
SCH002,AICTE Pragati Scholarship for Girls,scholarship,Technical/Engineering,All,800000,All,Female,,,Diploma/Degree,,"?50,000/yr, up to 3 yrs",https://www.aicte.gov.in/index.php/schemes/students-development-schemes/Pragati/General-Instructions,"Maximum 2 girls per family. Admission must be through centralised State/Central counselling at an AICTE-approved institute, not management quota. Apply via National Scholarship Portal.",28-06-2026
SCH003,AICTE Saksham Scholarship for Specially-Abled,scholarship,Technical/Engineering,All,800000,All,,,,Diploma/Degree,,"?50,000/yr",https://www.aicte.gov.in/,Requires a minimum 40% disability certified by a government medical board (private hospital/individual doctor certificates not accepted). Management quota admissions are not eligible.,28-06-2026
SCH004,PM-YASASVI Top Class School (OBC/EBC/DNT),scholarship,All,All,250000,OBC/EBC/DNT,,,,Class 9–12,,"?75k/yr (9-10), ?1.25L/yr (11-12)",https://www.myscheme.gov.in/schemes/pm-yasasvitcseobcebcdnts,Selection method has shifted toward merit on qualifying-class marks (the older YASASVI Entrance Test was cancelled for recent cycles) - confirm current method on NSP before assuming.,28-06-2026
SCH005,Central Sector Scheme of Scholarship (CSSS),scholarship,All(UG/PG),All,450000,All,,,,UG/PG,,?10-20k/yr by level,https://www.myscheme.gov.in/schemes/csss-cus,"Must be in the top 20th percentile of your board's Class 12 results. Not available for diploma, distance, or correspondence courses. 50% of scholarships reserved for girls.",28-06-2026
SCH006,Post-Matric Scholarship for SC Students,scholarship,All,All,250000,SC,,,,Class 11–PhD,,Fee reimbursement + maintenance allowance,https://www.myscheme.gov.in/schemes/pmsfss,Must be renewed every academic year. Apply via NSP or your state's SC scholarship portal. Aadhaar-linked bank account required for DBT,28-06-2026
SCH007,Begum Hazrat Mahal National Scholarship,scholarship,All,All,200000,Minorty,Female,,,Class 9–12,,"~?5k/yr (9-10), ~?6k/yr (11-12) — unverified, sources disagreed",https://www.myscheme.gov.in/schemes/bhmnsp,"Apply separately at maef.nic.in, not always bundled with main NSP flow. Benefit amount had the most source disagreement of all 12 - verify on official site before finalizing.",28-06-2026
SCH008,Post-Matric Scholarship for OBC Students,scholarship,All,All,250000,OBC-NCL,,,,Class 11–PhD,,"Maintenance + fee reimbursement, varies",https://www.myscheme.gov.in/schemes/pm-yasasvipmsobcebcdnts,"Certificate must explicitly say 'Non-Creamy Layer', not just OBC. Income ceiling appears to have been revised upward to 2.5 lakh in recent cycles - older sources still cite 1.5 lakh, verify current figure.",28-06-2026
SCH009,INSPIRE Scholarship (SHE),scholarship,Science only,All,,All,,17,22,UG/Integrated PG,,"?80,000/yr for 5 yrs",https://online-inspire.gov.in/,"No income criteria - purely merit/rank based. NOT for Engineering, Medicine, or other professional courses. Eligible via top 1% in Class 12 boards, top 10,000 JEE/NEET rank, IISER/NISER admission, or KVPY/NTSE/JBNSTS/Olympiad medal.",28-06-2026
SCH0010,Swami Vivekananda Merit-cum-Means (SVMCM),scholarship,All,West Bengal,250000,All,,,,Class 11–PhD,,"?1,000-8,000/month",https://svmcm.wb.gov.in/,Only for students who are BOTH domiciled in and studying within West Bengal. Minimum marks requirement varies by level (60% is the most commonly cited figure for HS/UG) - confirm exact percentage for your specific course on the portal. Cannot be combined with Kanyashree K3 for the same course.,28-06-2026
